17.51952734,31.87273721,7.68461269
15.77683998,28.82454168,8.636618518
14.87491971,24.81943945,9.061842487
15.27860807,21.03531321,9.973519038
15.62182075,17.67751991,11.5180387
14.57757733,14.87725189,10.32696689
14.68111134,11.60003785,9.330660561
15.59970238,7.95443202,8.424308902
16.98634597,4.614121678,7.369169954
19.79888673,2.400682899,7.507751125
25.50483298,1.714429683,9.669096822
30.31551435,4.625637806,8.369502886
33.76633254,8.86566496,6.02589964
34.15249646,14.20074085,6.760775445
35.19981035,19.37210805,8.787515127
34.10557816,24.38737206,10.44679384
33.01854213,29.51867968,10.18569856
29.12785062,33.22172392,8.712808018
24.70277163,35.4664096,8.356994698
19.92124718,34.0612549,8.538989966
